fighter_1,fighter_2,result,event,event_date,event_year,f1_age,f1_avg_body_landed,f1_avg_clinch_landed,f1_avg_distance_landed,f1_avg_ground_landed,f1_avg_head_landed,f1_avg_leg_landed,f1_avg_reversals,f1_avg_sig_str_landed,f1_avg_sig_str_received,f1_avg_sub_attempts,f1_avg_td_landed,f1_avg_td_received,f1_ctrl_time_differential,f1_days_inactive,f1_dec_rate,f1_elo,f1_exp_ratio,f1_finish_rate,f1_height_in,f1_kd_differential,f1_ko_rate,f1_lose_streak,f1_momentum,f1_reach_in,f1_recent_win_rate,f1_sig_str_accuracy,f1_sig_str_defense,f1_southpaw,f1_striking_volume,f1_sub_rate,f1_td_accuracy,f1_td_defense,f1_total_fights,f1_win_rate,f1_win_streak,f2_age,f2_avg_body_landed,f2_avg_clinch_landed,f2_avg_distance_landed,f2_avg_ground_landed,f2_avg_head_landed,f2_avg_leg_landed,f2_avg_reversals,f2_avg_sig_str_landed,f2_avg_sig_str_received,f2_avg_sub_attempts,f2_avg_td_landed,f2_avg_td_received,f2_ctrl_time_differential,f2_days_inactive,f2_dec_rate,f2_elo,f2_exp_ratio,f2_finish_rate,f2_height_in,f2_kd_differential,f2_ko_rate,f2_lose_streak,f2_momentum,f2_reach_in,f2_recent_win_rate,f2_sig_str_accuracy,f2_sig_str_defense,f2_southpaw,f2_striking_volume,f2_sub_rate,f2_td_accuracy,f2_td_defense,f2_total_fights,f2_win_rate,f2_win_streak,delta_age,delta_avg_body_landed,delta_avg_clinch_landed,delta_avg_distance_landed,delta_avg_ground_landed,delta_avg_head_landed,delta_avg_leg_landed,delta_avg_reversals,delta_avg_sig_str_landed,delta_avg_sig_str_received,delta_avg_sub_attempts,delta_avg_td_landed,delta_avg_td_received,delta_ctrl_time_differential,delta_days_inactive,delta_dec_rate,delta_elo,delta_exp_ratio,delta_finish_rate,delta_height_in,delta_kd_differential,delta_ko_rate,delta_lose_streak,delta_momentum,delta_reach_in,delta_recent_win_rate,delta_sig_str_accuracy,delta_sig_str_defense,delta_southpaw,delta_striking_volume,delta_sub_rate,delta_td_accuracy,delta_td_defense,delta_total_fights,delta_win_rate,delta_win_streak
Cain Velasquez,Brock Lesnar,1,UFC 121: Lesnar vs Velasquez,2010-10-23,2010,28.238193018480494,4.25,7.375,8.5,20.125,27.5,4.25,0.0,36.0,5.375,0.25,2.5,0.125,178.5,245.0,0.125,1645.25495924612,0.5714285714285714,0.875,73.0,0.5,0.875,0,0.0,77.0,1.0,0.6371681415929203,0.6717557251908397,0.0,41.375,0.0,0.7407407407407407,0.9230769230769231,8,1.0,8,33.281314168377826,7.0,3.6666666666666665,2.3333333333333335,19.166666666666668,16.5,1.6666666666666667,0.0,25.166666666666668,11.166666666666666,0.3333333333333333,1.8333333333333333,0.16666666666666666,160.66666666666666,112.0,0.2,1590.8811250661092,0.42857142857142855,0.8,75.0,0.16666666666666666,0.6,0,-0.033333333333333326,81.0,0.8,0.798941798941799,0.524822695035461,0.0,36.333333333333336,0.2,0.6470588235294118,0.6666666666666667,6,0.8333333333333334,4,-5.043121149897331,-2.75,3.7083333333333335,6.166666666666666,0.9583333333333321,11.0,2.583333333333333,0.0,10.833333333333332,-5.791666666666666,-0.08333333333333331,0.6666666666666667,-0.04166666666666666,17.833333333333343,133,-0.07500000000000001,54.37383418001082,0.14285714285714285,0.07499999999999996,-2,0.33333333333333337,0.275,0,0.033333333333333326,-4.0,0.19999999999999996,-0.1617736573488786,0.14693303015537873,0.0,5.041666666666664,-0.2,0.0936819172113289,0.2564102564102564,2,0.16666666666666663,4
Gilbert Yvel,Jon Madsen,0,UFC 121: Lesnar vs Velasquez,2010-10-23,2010,34.313483915126625,0.9230769230769231,1.1538461538461537,2.5384615384615383,3.076923076923077,5.384615384615385,0.46153846153846156,0.7692307692307693,6.769230769230769,12.384615384615385,0.3076923076923077,0.0,2.3846153846153846,-50.07692307692307,133.0,0.0,1406.8726514678817,0.8125,1.0,74.0,-0.07692307692307693,1.0,3,0.046153846153846156,77.0,0.2,0.4607329842931937,0.4872611464968153,0.0,19.153846153846153,0.0,0.0,0.24390243902439024,13,0.15384615384615385,0,30.694045174537987,5.333333333333333,9.666666666666666,19.333333333333332,2.6666666666666665,20.0,6.333333333333333,0.0,31.666666666666668,17.666666666666668,0.0,1.3333333333333333,0.0,190.33333333333334,112.0,1.0,1544.893410473051,0.1875,0.0,72.0,0.0,0.0,0,0.0,72.0,1.0,0.38,0.8384146341463414,0.0,49.333333333333336,0.0,0.6666666666666666,1.0,3,1.0,3,3.619438740588638,-4.41025641025641,-8.512820512820513,-16.794871794871796,0.4102564102564106,-14.615384615384615,-5.871794871794871,0.7692307692307693,-24.897435897435898,-5.282051282051283,0.3076923076923077,-1.3333333333333333,2.3846153846153846,-240.4102564102564,21,-1.0,-138.02075900516934,0.625,1.0,2,-0.07692307692307693,1.0,3,0.046153846153846156,5.0,-0.8,0.0807329842931937,-0.35115348764952614,0.0,-30.179487179487182,0.0,-0.6666666666666666,-0.7560975609756098,10,-0.8461538461538461,-3
Mike Guymon,Daniel Roberts,0,UFC 121: Lesnar vs Velasquez,2010-10-23,2010,36.09856262833676,7.5,6.5,6.0,20.0,22.5,2.5,0.5,32.5,7.5,1.0,1.5,1.5,-11.5,168.0,1.0,1500.8986691425614,0.5,0.0,72.0,0.0,0.0,0,0.0,74.0,0.5,0.6701030927835051,0.6428571428571428,0.0,40.0,0.0,0.5,0.6666666666666667,2,0.5,1,30.21492128678987,0.5,0.5,1.5,4.0,5.5,0.0,0.5,6.0,13.5,1.5,3.5,1.0,190.5,112.0,1.0,1502.0052867230131,0.5,0.0,70.0,0.0,0.0,0,0.0,74.0,0.5,0.19672131147540983,0.6493506493506493,1.0,19.5,0.0,0.7,0.0,2,0.5,1,5.883641341546888,7.0,6.0,4.5,16.0,17.0,2.5,0.0,26.5,-6.0,-0.5,-2.0,0.5,-202.0,56,0.0,-1.1066175804517115,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.4733817813080953,-0.006493506493506551,-1.0,20.5,0.0,-0.19999999999999996,0.6666666666666667,0,0.0,0
Paulo Thiago,Diego Sanchez,0,UFC 121: Lesnar vs Velasquez,2010-10-23,2010,29.741273100616016,2.8,2.4,7.6,3.6,8.2,2.6,0.4,13.6,14.0,1.4,0.6,1.4,-200.0,133.0,0.3333333333333333,1530.0639622208246,0.22727272727272727,0.6666666666666666,71.0,0.8,0.3333333333333333,1,0.0,74.0,0.6,0.384180790960452,0.6832579185520362,0.0,27.6,0.3333333333333333,0.2,0.41666666666666663,5,0.6,0,28.810403832991103,5.294117647058823,3.4705882352941178,14.117647058823529,13.117647058823529,24.529411764705884,0.8823529411764706,0.17647058823529413,30.705882352941178,23.529411764705884,1.0588235294117647,1.4705882352941178,1.1176470588235294,53.94117647058823,147.0,0.46153846153846156,1604.8517230755838,0.7727272727272727,0.5384615384615385,70.0,0.29411764705882354,0.38461538461538464,2,-0.16470588235294115,72.0,0.6,0.3951551854655564,0.6074582924435721,1.0,54.23529411764706,0.15384615384615385,0.2336448598130841,0.4722222222222222,17,0.7647058823529411,0,0.9308692676249137,-2.4941176470588236,-1.0705882352941178,-6.517647058823529,-9.51764705882353,-16.329411764705885,1.7176470588235295,0.2235294117647059,-17.10588235294118,-9.529411764705884,0.3411764705882352,-0.8705882352941178,0.2823529411764705,-253.94117647058823,-14,-0.12820512820512825,-74.7877608547592,-0.5454545454545454,0.12820512820512808,1,0.5058823529411764,-0.05128205128205132,-1,0.16470588235294115,2.0,0.0,-0.010974394505104401,0.07579962610846414,-1.0,-26.635294117647057,0.17948717948717946,-0.0336448598130841,-0.05555555555555558,-12,-0.16470588235294115,0
Gabriel Gonzaga,Brendan Schaub,0,UFC 121: Lesnar vs Velasquez,2010-10-23,2010,31.433264887063654,2.1666666666666665,2.3333333333333335,5.666666666666667,6.25,8.916666666666666,3.1666666666666665,0.08333333333333333,14.25,19.416666666666668,0.5833333333333334,1.4166666666666667,0.4166666666666667,32.0,216.0,0.0,1525.0770110461988,0.8,1.0,74.0,0.08333333333333337,0.7142857142857143,1,0.016666666666666607,76.0,0.6,0.49279538904899134,0.4799107142857143,0.0,33.66666666666667,0.2857142857142857,0.5483870967741935,0.6666666666666667,12,0.5833333333333334,0,27.600273785078713,0.0,5.333333333333333,6.666666666666667,3.6666666666666665,15.666666666666666,0.0,0.0,15.666666666666666,3.6666666666666665,0.0,0.0,0.3333333333333333,-24.333333333333336,112.0,0.0,1515.0726670800314,0.2,1.0,76.0,0.3333333333333333,1.0,0,0.0,78.0,0.6666666666666666,0.4895833333333333,0.7608695652173914,0.0,19.333333333333332,0.0,0.0,0.75,3,0.6666666666666666,2,3.832991101984941,2.1666666666666665,-2.9999999999999996,-1.0,2.5833333333333335,-6.75,3.1666666666666665,0.08333333333333333,-1.416666666666666,15.750000000000002,0.5833333333333334,1.4166666666666667,0.08333333333333337,56.333333333333336,104,0.0,10.004343966167426,0.6000000000000001,0.0,-2,-0.24999999999999994,-0.2857142857142857,1,0.016666666666666607,-2.0,-0.06666666666666665,0.0032120557156580243,-0.28095885093167705,0.0,14.33333333333334,0.2857142857142857,0.5483870967741935,-0.08333333333333326,9,-0.08333333333333326,-2
Urijah Faber,Takeya Mizugaki,1,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,31.496235455167692,5.090909090909091,3.3636363636363638,12.727272727272727,7.363636363636363,16.90909090909091,1.4545454545454546,0.45454545454545453,23.454545454545453,22.09090909090909,0.9090909090909091,1.0909090909090908,1.1818181818181819,-38.1818181818182,201.0,0.125,1564.9182761912577,0.7333333333333333,0.875,66.0,0.09090909090909094,0.25,1,-0.32727272727272727,67.0,0.4,0.37337192474674386,0.615506329113924,0.0,45.54545454545455,0.625,0.375,0.5185185185185186,11,0.7272727272727273,0,26.90485968514716,14.25,14.75,22.75,6.75,26.25,3.75,0.25,44.25,61.0,0.0,1.75,2.25,-32.75,201.0,1.0,1504.0786214143723,0.26666666666666666,0.0,67.0,-0.5,0.0,0,0.0,69.0,0.5,0.30360205831903947,0.5763888888888888,0.0,105.25,0.0,0.875,0.7,4,0.5,1,4.591375770020534,-9.15909090909091,-11.386363636363637,-10.022727272727273,0.6136363636363633,-9.34090909090909,-2.2954545454545454,0.20454545454545453,-20.795454545454547,-38.90909090909091,0.9090909090909091,-0.6590909090909092,-1.0681818181818181,-5.431818181818201,0,-0.875,60.83965477688548,0.4666666666666666,0.875,-1,0.5909090909090909,0.25,1,-0.32727272727272727,-2.0,-0.09999999999999998,0.06976986642770439,0.03911744022503516,0.0,-59.70454545454545,0.625,-0.5,-0.18148148148148135,7,0.2272727272727273,-1
Wagnney Fabiano,Joseph Benavidez,0,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,35.32922655715264,4.2,2.8,8.2,4.4,8.0,3.2,0.2,15.4,5.8,0.4,3.2,0.0,448.40000000000003,144.0,0.75,1544.6164109298445,0.4166666666666667,0.25,66.0,0.0,0.0,0,0.0,69.0,0.8,0.39690721649484534,0.6741573033707865,1.0,21.2,0.25,0.64,1.0,5,0.8,2,26.28062970568104,8.714285714285714,3.7142857142857144,20.571428571428573,5.142857142857143,14.428571428571429,6.285714285714286,0.0,29.428571428571427,22.142857142857142,0.8571428571428571,1.0,2.0,25.42857142857143,85.0,0.4,1545.6974131157538,0.5833333333333334,0.6000000000000001,64.0,0.2857142857142857,0.2,1,-0.11428571428571432,65.0,0.6,0.2821917808219178,0.7227191413237926,1.0,51.57142857142857,0.4,0.3181818181818182,0.43999999999999995,7,0.7142857142857143,0,9.048596851471597,-4.514285714285713,-0.9142857142857146,-12.371428571428574,-0.7428571428571429,-6.428571428571429,-3.0857142857142854,0.2,-14.028571428571427,-16.34285714285714,-0.4571428571428571,2.2,-2.0,422.9714285714286,59,0.35,-1.0810021859092558,-0.16666666666666669,-0.3500000000000001,2,-0.2857142857142857,-0.2,-1,0.11428571428571432,4.0,0.20000000000000007,0.11471543567292752,-0.04856183795300606,0.0,-30.37142857142857,-0.15000000000000002,0.32181818181818184,0.56,-2,0.08571428571428574,2
Mackens Semerzier,Cub Swanson,0,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,30.02053388090349,4.666666666666667,2.3333333333333335,4.0,3.6666666666666665,4.666666666666667,0.6666666666666666,0.0,10.0,19.0,2.0,0.3333333333333333,2.6666666666666665,-226.00000000000003,85.0,0.0,1484.6786150718185,0.3,1.0,69.0,0.0,0.0,2,0.0,72.0,0.3333333333333333,0.46153846153846156,0.3522727272727273,0.0,29.0,1.0,0.5,0.4285714285714286,3,0.3333333333333333,0,27.025325119780973,2.4285714285714284,4.142857142857143,12.142857142857142,5.857142857142857,15.428571428571429,4.285714285714286,0.42857142857142855,22.142857142857142,15.714285714285714,1.1428571428571428,1.1428571428571428,2.5714285714285716,-77.42857142857142,85.0,0.5,1516.3982451005475,0.7,0.5,68.0,-0.14285714285714285,0.0,1,-0.17142857142857137,70.0,0.4,0.41778975741239893,0.6321070234113713,0.0,37.857142857142854,0.5,0.5333333333333333,0.33333333333333337,7,0.5714285714285714,0,2.995208761122516,2.2380952380952386,-1.8095238095238098,-8.142857142857142,-2.1904761904761902,-10.761904761904763,-3.619047619047619,-0.42857142857142855,-12.142857142857142,3.2857142857142865,0.8571428571428572,-0.8095238095238095,0.0952380952380949,-148.5714285714286,0,-0.5,-31.719630028728943,-0.39999999999999997,0.5,1,0.14285714285714285,0.0,1,0.17142857142857137,2.0,-0.06666666666666671,0.04374870412606263,-0.27983429613864397,0.0,-8.857142857142854,0.5,-0.033333333333333326,0.09523809523809523,-4,-0.23809523809523808,0
Chad Mendes,Javier Vazquez,1,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,25.530458590006845,1.0,2.0,4.666666666666667,7.666666666666667,10.666666666666666,2.6666666666666665,0.0,14.333333333333334,15.333333333333334,0.3333333333333333,5.0,0.0,387.3333333333333,85.0,0.6666666666666666,1547.3093702610292,0.42857142857142855,0.3333333333333333,66.0,0.0,0.0,0,0.0,66.0,1.0,0.5308641975308642,0.6488549618320612,0.0,29.666666666666668,0.3333333333333333,0.6818181818181818,0.0,3,1.0,3,33.322381930184804,1.75,0.25,15.75,9.75,22.5,1.5,0.0,25.75,20.75,1.5,2.25,0.0,68.75,85.0,0.0,1503.6827613015544,0.5714285714285714,1.0,67.0,0.0,0.0,0,0.0,69.0,0.5,0.3576388888888889,0.7688022284122562,1.0,46.5,1.0,0.5294117647058824,1.0,4,0.5,2,-7.791923340177959,-0.75,1.75,-11.083333333333332,-2.083333333333333,-11.833333333333334,1.1666666666666665,0.0,-11.416666666666666,-5.416666666666666,-1.1666666666666667,2.75,0.0,318.5833333333333,0,0.6666666666666666,43.62660895947488,-0.14285714285714285,-0.6666666666666667,-1,0.0,0.0,0,0.0,-3.0,0.5,0.17322530864197533,-0.11994726658019506,-1.0,-16.833333333333332,-0.6666666666666667,0.1524064171122994,-1.0,-1,0.5,1
Yves Jabouin,Brandon Visher,1,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,31.45242984257358,12.5,2.5,38.0,1.5,18.5,11.0,0.0,42.0,49.0,0.0,0.5,0.5,-62.5,144.0,0.0,1470.9001440581787,0.5,0.0,67.0,0.0,0.0,2,0.0,68.0,0.0,0.34854771784232363,0.631578947368421,0.0,91.0,0.0,0.5,0.75,2,0.0,0,26.5160848733744,1.0,0.5,9.0,6.0,12.5,2.0,0.0,15.5,20.5,0.0,0.5,0.0,68.0,201.0,0.0,1500.0,0.5,1.0,66.0,-0.5,1.0,1,0.0,68.0,0.5,0.47692307692307695,0.3970588235294118,0.0,36.0,0.0,0.5,0.0,2,0.5,0,4.93634496919918,11.5,2.0,29.0,-4.5,6.0,9.0,0.0,26.5,28.5,0.0,0.0,0.5,-130.5,-57,0.0,-29.09985594182126,0.0,-1.0,1,0.5,-1.0,1,0.0,0.0,-0.5,-0.12837535908075332,0.23452012383900922,0.0,55.0,0.0,0.0,0.75,0,-0.5,0
Dustin Poirier,Zachary Micklewright,1,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,21.809719370294317,1.0,2.0,3.0,3.0,5.0,2.0,0.0,8.0,32.0,5.0,0.0,3.0,-775.0,85.0,0.0,1483.9852937594053,0.3333333333333333,0.0,69.0,0.0,0.0,1,0.0,72.0,0.0,0.4444444444444444,0.2558139534883721,1.0,40.0,0.0,0.0,0.7272727272727273,1,0.0,0,34.223134839151264,21.0,19.5,33.5,3.5,31.0,4.5,0.0,56.5,31.5,0.0,0.5,0.0,4.0,85.0,1.0,1498.1787340270391,0.6666666666666666,0.0,72.0,-0.5,0.0,1,0.0,74.0,0.5,0.553921568627451,0.60625,1.0,88.0,0.0,0.125,1.0,2,0.5,0,-12.413415468856947,-20.0,-17.5,-30.5,-0.5,-26.0,-2.5,0.0,-48.5,0.5,5.0,-0.5,3.0,-779.0,0,-1.0,-14.193440267633832,-0.3333333333333333,0.0,-3,0.5,0.0,0,0.0,-2.0,-0.5,-0.10947712418300659,-0.35043604651162785,0.0,-48.0,0.0,-0.125,-0.2727272727272727,-1,-0.5,0
Damacio Page,Demetrious Johnson,0,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,28.11498973305955,3.25,2.5,5.5,3.5,7.0,1.25,0.25,11.5,9.5,0.5,0.5,1.0,2.25,397.0,0.3333333333333333,1531.265179666064,0.6666666666666666,0.6666666666666666,66.0,0.25,0.3333333333333333,0,0.0,66.0,0.75,0.41818181818181815,0.5421686746987953,0.0,21.0,0.3333333333333333,0.6666666666666666,0.4285714285714286,4,0.75,2,24.246406570841888,12.0,18.0,25.5,3.0,20.0,14.5,0.0,46.5,16.5,0.0,3.0,5.0,-100.0,42.0,1.0,1501.4049348145277,0.3333333333333333,0.0,63.0,0.0,0.0,0,0.0,66.0,0.5,0.5568862275449101,0.6886792452830188,0.0,63.0,0.0,0.6,0.4444444444444444,2,0.5,1,3.8685831622176607,-8.75,-15.5,-20.0,0.5,-13.0,-13.25,0.25,-35.0,-7.0,0.5,-2.5,-4.0,102.25,355,-0.6666666666666667,29.86024485153621,0.3333333333333333,0.6666666666666666,3,0.25,0.3333333333333333,0,0.0,0.0,0.25,-0.13870440936309197,-0.14651057058422357,0.0,-42.0,0.3333333333333333,0.06666666666666665,-0.015873015873015817,2,0.25,1
Raphael Assuncao,LC Davis,1,WEC 52: Faber vs. Mizugaki,2010-11-11,2010,28.314852840520192,5.75,6.0,24.5,3.5,19.5,8.75,0.25,34.0,27.5,0.75,1.25,0.75,39.0,144.0,1.0,1500.76113918429,0.4444444444444444,0.0,65.0,-0.25,0.0,2,0.0,66.0,0.5,0.34517766497461927,0.6696696696696697,0.0,61.5,0.0,0.3333333333333333,0.5,4,0.5,0,30.036960985626283,7.4,7.6,10.0,3.4,11.0,2.6,0.0,21.0,20.6,0.0,2.2,1.0,47.400000000000006,144.0,1.0,1545.8673447312997,0.5555555555555556,0.0,68.0,0.0,0.0,1,0.0,69.0,0.8,0.2699228791773779,0.628158844765343,1.0,41.6,0.0,0.6470588235294118,0.8,5,0.8,0,-1.7221081451060911,-1.6500000000000004,-1.5999999999999996,14.5,0.10000000000000009,8.5,6.15,0.25,13.0,6.899999999999999,0.75,-0.9500000000000002,-0.25,-8.400000000000006,0,0.0,-45.10620554700972,-0.11111111111111116,0.0,-3,-0.25,0.0,1,0.0,-3.0,-0.30000000000000004,0.07525478579724137,0.04151082490432667,-1.0,19.9,0.0,-0.3137254901960785,-0.30000000000000004,-1,-0.30000000000000004,0
Andre Winner,Dennis Siver,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,29.010266940451746,9.75,17.5,17.0,0.75,18.0,7.5,0.0,35.25,40.0,0.0,0.0,1.75,-168.75,77.0,0.5,1501.427985015971,0.3076923076923077,0.5,71.0,0.5,0.5,1,0.0,73.0,0.5,0.40634005763688763,0.5454545454545454,0.0,75.25,0.0,0.0,0.7741935483870968,4,0.5,0,31.83299110198494,3.4444444444444446,1.8888888888888888,24.11111111111111,2.4444444444444446,17.22222222222222,7.777777777777778,0.2222222222222222,28.444444444444443,24.11111111111111,0.2222222222222222,0.4444444444444444,0.6666666666666666,-45.44444444444445,147.0,0.2,1522.4664318530122,0.6923076923076923,0.8,66.0,0.1111111111111111,0.6,0,0.24444444444444446,70.0,0.8,0.26418988648090813,0.6494345718901454,0.0,52.55555555555556,0.2,0.3076923076923077,0.33333333333333337,9,0.5555555555555556,1,-2.822724161533195,6.305555555555555,15.61111111111111,-7.111111111111111,-1.6944444444444446,0.7777777777777786,-0.2777777777777777,-0.2222222222222222,6.805555555555557,15.88888888888889,-0.2222222222222222,-0.4444444444444444,1.0833333333333335,-123.30555555555554,-70,0.3,-21.038446837041192,-0.3846153846153846,-0.30000000000000004,5,0.3888888888888889,-0.09999999999999998,1,-0.24444444444444446,3.0,-0.30000000000000004,0.1421501711559795,-0.1039800264356,0.0,22.694444444444443,-0.2,-0.3076923076923077,0.4408602150537634,-5,-0.05555555555555558,-1
Nick Osipczak,Duane Ludwig,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,25.869952087611225,7.75,12.25,8.5,8.5,17.0,4.5,0.5,29.25,34.25,1.0,0.75,2.5,-254.25,77.0,0.0,1499.2921728057336,0.25,1.0,74.0,0.0,0.5,2,0.0,76.0,0.5,0.4895397489539749,0.44758064516129037,0.0,63.5,0.5,0.5,0.6774193548387097,4,0.5,0,32.276522929500345,8.583333333333334,6.333333333333333,8.75,3.0,8.75,0.75,0.0,18.083333333333332,11.0,0.08333333333333333,0.16666666666666666,1.25,-40.58333333333333,237.0,0.4,1474.9918120848456,0.75,0.6,70.0,0.0,0.6,3,-0.016666666666666663,70.0,0.4,0.5081967213114754,0.5887850467289719,0.0,29.083333333333332,0.0,0.3333333333333333,0.48275862068965514,12,0.4166666666666667,0,-6.4065708418891205,-0.8333333333333339,5.916666666666667,-0.25,5.5,8.25,3.75,0.5,11.166666666666668,23.25,0.9166666666666666,0.5833333333333334,1.25,-213.66666666666669,-160,-0.4,24.300360720887966,-0.5,0.4,4,0.0,-0.09999999999999998,-1,0.016666666666666663,6.0,0.09999999999999998,-0.018656972357500523,-0.14120440156768155,0.0,34.41666666666667,0.5,0.16666666666666669,0.1946607341490546,-8,0.08333333333333331,0
Goran Reljic,Krzysztof Soszynski,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,26.650239561943874,7.0,1.3333333333333333,16.0,5.0,12.0,3.3333333333333335,0.6666666666666666,22.333333333333332,28.666666666666668,1.3333333333333333,1.3333333333333333,2.0,40.66666666666666,133.0,0.0,1487.3596974772422,0.25,1.0,75.0,0.0,1.0,2,0.0,81.0,0.3333333333333333,0.39644970414201186,0.6340425531914894,1.0,51.0,0.0,0.6666666666666666,0.25,3,0.3333333333333333,0,33.281314168377826,1.8888888888888888,5.555555555555555,11.88888888888889,0.8888888888888888,12.777777777777779,3.6666666666666665,0.0,18.333333333333332,23.333333333333332,0.3333333333333333,0.3333333333333333,0.7777777777777778,8.1111111111111,133.0,0.0,1506.4779992291433,0.75,1.0,73.0,-0.3333333333333333,0.5,1,0.15555555555555556,77.0,0.6,0.3313253012048193,0.58984375,0.0,41.666666666666664,0.5,0.2727272727272727,0.5625,9,0.4444444444444444,0,-6.631074606433952,5.111111111111111,-4.222222222222222,4.111111111111111,4.111111111111111,-0.7777777777777786,-0.33333333333333304,0.6666666666666666,4.0,5.333333333333336,1.0,1.0,1.2222222222222223,32.55555555555556,0,0.0,-19.118301751901072,-0.5,0.0,2,0.3333333333333333,0.5,1,-0.15555555555555556,4.0,-0.26666666666666666,0.06512440293719257,0.04419880319148939,1.0,9.333333333333336,-0.5,0.3939393939393939,-0.3125,-6,-0.1111111111111111,0
Rob Kimmons,Kyle Noke,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,29.78507871321013,4.8,8.2,3.2,4.0,9.4,1.2,0.0,15.4,32.0,1.6,1.2,0.4,-59.80000000000001,104.0,0.3333333333333333,1513.0584902924777,0.7142857142857143,0.6666666666666666,70.0,-0.2,0.0,0,0.0,73.0,0.6,0.5202702702702703,0.43661971830985913,0.0,47.4,0.6666666666666666,0.46153846153846156,0.33333333333333337,5,0.6,1,30.65571526351814,5.0,2.0,25.0,9.5,20.5,11.0,0.0,36.5,11.5,1.0,0.5,0.0,2.5,147.0,0.0,1531.9984455489102,0.2857142857142857,1.0,73.0,0.5,1.0,0,0.0,76.0,1.0,0.5367647058823529,0.8,1.0,48.0,0.0,0.5,1.0,2,1.0,2,-0.87063655030801,-0.20000000000000018,6.199999999999999,-21.8,-5.5,-11.1,-9.8,0.0,-21.1,20.5,0.6000000000000001,0.7,0.4,-62.30000000000001,-43,0.3333333333333333,-18.93995525643254,0.4285714285714286,-0.33333333333333337,-3,-0.7,-1.0,0,0.0,-3.0,-0.4,-0.016494435612082636,-0.3633802816901409,-1.0,-0.6000000000000014,0.6666666666666666,-0.038461538461538436,-0.6666666666666666,3,-0.4,-1
Peter Sobotta,Amir Sadollah,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,23.838466803559207,4.0,4.0,12.0,0.5,6.5,6.0,0.5,16.5,42.0,1.0,1.5,0.5,71.5,154.0,0.0,1468.631281962838,0.2857142857142857,0.0,72.0,0.0,0.0,2,0.0,75.0,0.0,0.34375,0.5384615384615384,1.0,58.5,0.0,0.23076923076923078,0.8,2,0.0,0,30.21218343600274,17.0,15.6,27.8,3.6,20.2,9.8,0.0,47.0,26.2,0.4,0.4,1.6,-105.19999999999999,168.0,0.6666666666666666,1502.4199073822228,0.7142857142857143,0.3333333333333333,70.0,-0.2,0.0,1,0.0,75.0,0.6,0.5389908256880734,0.6371191135734072,0.0,73.2,0.3333333333333333,0.6666666666666666,0.4285714285714286,5,0.6,0,-6.373716632443532,-13.0,-11.6,-15.8,-3.1,-13.7,-3.8000000000000007,0.5,-30.5,15.8,0.6,1.1,-1.1,176.7,-14,-0.6666666666666666,-33.78862541938474,-0.4285714285714286,-0.3333333333333333,2,0.2,0.0,1,0.0,0.0,-0.6,-0.19524082568807344,-0.09865757511186879,1.0,-14.700000000000003,-0.3333333333333333,-0.43589743589743585,0.37142857142857144,-3,-0.6,0
Seth Petruzelli,Karlos Vemola,0,UFC 122: Marquardt vs Okami,2010-11-13,2010,30.94592744695414,2.75,2.75,10.25,4.0,11.5,2.75,0.0,17.0,12.5,0.75,0.25,2.25,-236.5,133.0,0.0,1473.5090015529338,0.8,1.0,72.0,0.75,1.0,1,0.0,76.0,0.25,0.4171779141104294,0.5454545454545454,0.0,29.5,0.0,0.5,0.5263157894736843,4,0.25,0,25.363449691991786,10.0,12.0,4.0,0.0,2.0,4.0,0.0,16.0,37.0,1.0,0.0,3.0,-581.0,133.0,0.0,1485.3911333359072,0.2,0.0,72.0,0.0,0.0,1,0.0,75.0,0.0,0.38095238095238093,0.30188679245283023,0.0,53.0,0.0,0.0,0.25,1,0.0,0,5.582477754962355,-7.25,-9.25,6.25,4.0,9.5,-1.25,0.0,1.0,-24.5,-0.25,0.25,-0.75,344.5,0,0.0,-11.882131782973374,0.6000000000000001,1.0,0,0.75,1.0,0,0.0,1.0,0.25,0.036225533158048495,0.24356775300171518,0.0,-23.5,0.0,0.5,0.2763157894736843,3,0.25,0
